latitude,longitude,elevation,distance_to_coast_km,training_rows,rainfall_mean,rainfall_std,rainfall_max,rainfall_median,rainfall_p95,rainfall_p99,rain_rate_ge20,rain_rate_ge50,rain_rate_ge100,rain_rate_ge150,elevation_climatology,log_distance_to_coast_km,rainfall_extreme_ratio,tail_risk_score,coast_distance_band,elevation_band
6.999850171323895,93.80451706599516,9.53,9.085449178698585,6909,5.288439716312057,5.592823007414173,51.23,3.66,16.12,27.474000000000014,0.02851353307280359,0.0004342162396873643,0.0,0.0,9.53,2.3110937097002586,5.195104090938786,0.0004342162396873643,"(0.882, 43.692]","(0.009000000000000001, 61.12]"
8.329342470797886,77.35384378666343,261.01,20.321755095712128,6909,3.5919785786655085,8.499494818367868,107.81,0.37,18.331999999999933,42.201600000000035,0.04400057895498625,0.006223766102185555,0.0002894774931249095,0.0,261.01,3.0597279174718923,11.748841850509285,0.006802721088435374,"(0.882, 43.692]","(222.892, 282.49]"
8.57357576660167,77.05325455423964,86.25,18.94288401385566,6909,4.919916051526993,9.816303674364727,112.43,0.93,23.219999999999974,49.363600000000005,0.06455348096685483,0.00969749601968447,0.0002894774931249095,0.0,86.25,2.99287238867169,10.033421190440404,0.010276451005934288,"(0.882, 43.692]","(61.12, 109.578]"
8.776908117841964,77.52073263822214,248.22,67.091865788056,6909,3.727012592270951,8.18570927446026,97.29,0.56,18.48199999999999,40.494000000000014,0.04486901143436098,0.005644811115935736,0.0,0.0,248.22,4.220857760912022,10.864999280919212,0.005644811115935736,"(43.692, 129.905]","(222.892, 282.49]"
8.851285091718552,77.99314926602764,36.06,20.37358185324594,6909,2.91405557967868,6.855040818340488,102.44,0.27,15.091999999999988,34.086800000000004,0.032276740483427414,0.0034737299174989146,0.00014473874656245476,0.0,36.06,3.062155666574854,11.697370681717718,0.003763207410623824,"(0.882, 43.692]","(0.009000000000000001, 61.12]"
8.965926519151386,76.85888977486124,211.5,21.41027402240517,6909,5.641422781878709,10.505704693683995,123.02,1.2,25.75,52.00640000000001,0.07772470690403821,0.011000144738746562,0.0007236937328122738,0.0,211.5,3.1095195154223783,9.21866571468255,0.01244753220437111,"(0.882, 43.692]","(172.721, 222.892]"
9.279685117104956,76.97765460309046,420.08,45.353688018675996,6909,6.1272036474164135,11.343907649511038,159.06,1.37,27.19199999999996,53.739200000000004,0.0864090316977855,0.01244753220437111,0.0008684324793747286,0.0002894774931249095,420.08,3.8363008577499005,8.77059003124036,0.015052829642495295,"(43.692, 129.905]","(359.084, 440.154]"
9.483605699029855,76.41393050343102,9.67,2.5812898259645047,6909,7.430811984368216,13.477019804753361,173.19,1.84,32.95199999999999,62.470400000000026,0.11188305109277753,0.020263424518743668,0.002026342451874367,0.0004342162396873643,9.67,1.275723022107247,8.406940146578242,0.025618758141554496,"(0.882, 43.692]","(0.009000000000000001, 61.12]"
9.496041344887333,77.86542451715609,81.41,71.42674211340655,6909,2.888902880301057,6.514154408320982,85.73,0.27,15.081999999999988,33.284400000000005,0.029381965552178316,0.002315819944999276,0.0,0.0,81.41,4.282575597400039,11.521463288190603,0.002315819944999276,"(43.692, 129.905]","(61.12, 109.578]"
9.519031284767802,78.65038729542894,26.73,29.44820234628099,6909,2.6556448111159354,6.136334324037335,78.66,0.22,13.991999999999962,30.8784,0.026921406860616587,0.0013026487190620929,0.0,0.0,26.73,3.4160269561662684,11.627454184872835,0.0013026487190620929,"(0.882, 43.692]","(0.009000000000000001, 61.12]"
9.627160134500263,76.64548108615182,420.08,18.652171518255617,6909,6.1272036474164135,11.343907649511038,159.06,1.37,27.19199999999996,53.739200000000004,0.0864090316977855,0.01244753220437111,0.0008684324793747286,0.0002894774931249095,420.08,2.9781878420443997,8.77059003124036,0.015052829642495295,"(0.882, 43.692]","(359.084, 440.154]"
